GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB023225	414.5921541	16.48727093	63.92737552	54.49155576	194.2493854	20.13198497	53.20646662	137.4907851	148.8122583	32.72477014	81.7707784	172.9090527	103.9131243	94.14721273	42.34028236
AB023230	900.0140567	418.8612843	212.5791398	285.5275215	506.7251082	417.8755053	672.5872167	572.2820813	245.6947178	723.835432	664.2271008	1715.070417	842.593139	1490.086259	124.6808843
AB024691	131.8803955	18.09788195	45.56560743	36.87980247	56.44304377	1224.367664	111.5955816	232.1372995	38.90602008	15.73972261	13.70599066	42.2190249	24.32097426	29.30564449	85.32109277
AB024964	328.6510905	39.93845999	213.4158142	19.45281552	101.4428506	69.32287735	100.1231629	26.04592514	130.3897535	56.2019122	211.7825512	195.9797709	54.10234161	49.75171006	45.9672698
AB025105	3599.361467	4135.381354	4270.577534	2452.310644	4428.665174	2564.636459	8220.825849	8817.625062	7387.724725	7019.649725	7409.42641	7574.558545	2195.976563	2588.093904	5120.547534
AB025106	3441.627646	4009.561804	4053.459051	6894.603938	3879.377309	2505.537576	8867.975905	9655.371804	8229.221129	6949.015736	6804.239107	6906.312927	2057.985825	2529.622135	4836.842927
AB026722	44.83940439	525.2067056	20.53038384	291.2274318	13.87106624	303.0665052	1776.222306	921.0605632	1233.771216	605.5463573	362.4684527	430.2194841	417.2880406	2147.426185	811.5563628
AB027133	469.8486784	196.1075151	30.20328317	87.19667937	163.6266239	140.8824186	62.94417135	78.02497244	26.45511181	16.31110461	103.5212622	59.84102062	36.90849922	16.48624118	26.84810083
AB028070	378.3427348	39.19762712	30.20328317	50.82581443	666.3662818	21.25310409	174.9912195	549.4080916	346.0579826	74.00834452	25.27164994	209.7879514	269.2712266	326.9578922	335.0835537
AB028944	4699.781972	2998.260008	1613.863706	3673.076972	8650.958433	916.5781075	7651.054613	3229.360343	3087.960568	909.7509579	627.1873391	2087.611035	788.8426594	251.4253812	7223.003995
AB028949	2159.313414	3130.270119	2787.963173	3937.688208	4900.903826	3496.698096	4521.157084	2346.067676	2507.915212	4222.681916	2418.585261	2454.28142	507.309855	1561.79879	3892.505624
AB028953	81.74277025	15.10627074	64.37272147	20.45226036	60.02752845	1088.848678	38.11333165	14.4012605	56.70611377	58.52664287	38.39711674	74.24079428	121.3350773	76.10504335	85.32109277
AB028963	206.8746823	83.39628895	82.58551019	1225.212941	2191.861124	58.03596418	973.2212415	707.5094213	1097.101064	222.8432324	498.7797046	912.2529238	643.0021398	734.5114414	557.5070915
AB028965	138.1872468	140.1210264	200.0497144	539.8837147	774.8512423	733.5800952	1037.662136	1075.687966	1257.400598	524.4920196	63.13985807	697.888971	453.1252375	817.1866742	2689.470398
AB028966	286.1653751	2673.511755	387.5310516	1924.267234	101.4428506	271.0490216	1248.394697	608.0147988	791.794074	194.3309382	637.6114833	201.3466288	260.3669455	2356.705979	1444.037657
